yourlist:M202205184ABAA9BC7178C81CEBC9459510EDDEA34D94DBZ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
HNRPU_MOUSE,Q8VEK3,HNRPU_MOUSE,reviewed,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold-attachment factor A) (SAF-A),Hnrnpu Hnrpu,Mus musculus (Mouse),800
HOGA1_MOUSE,Q9DCU9,HOGA1_MOUSE,reviewed,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",Hoga1 Dhdpsl,Mus musculus (Mouse),321
HOT_MOUSE,Q8R0N6,HOT_MOUSE,reviewed,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (HOT) (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1) (ADHFe1)",Adhfe1,Mus musculus (Mouse),465
HPPD_MOUSE,P49429,HPPD_MOUSE,reviewed,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein),Hpd,Mus musculus (Mouse),393
HPRT_MOUSE,P00493,HPRT_MOUSE,reviewed,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (HPRT B),Hprt1 Hprt,Mus musculus (Mouse),218
HPT_MOUSE,Q61646,HPT_MOUSE,reviewed,Haptoglobin [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain],Hp,Mus musculus (Mouse),347
HRG_MOUSE,Q9ESB3,HRG_MOUSE,reviewed,Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG),Hrg,Mus musculus (Mouse),525
HS105_MOUSE,Q61699,HS105_MOUSE,reviewed,Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I),Hsph1 Hsp105 Hsp110 Kiaa0201,Mus musculus (Mouse),858
HS71A_MOUSE,Q61696,HS71A_MOUSE,reviewed,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68),Hspa1a Hsp70-3 Hsp70A1,Mus musculus (Mouse),641
HS71B_MOUSE,P17879,HS71B_MOUSE,reviewed,Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 1) (HSP70.1),Hspa1b Hcp70.1 Hsp70-1 Hsp70a1 Hspa1,Mus musculus (Mouse),642
HS71L_MOUSE,P16627,HS71L_MOUSE,reviewed,Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa-like protein 1) (Spermatid-specific heat shock protein 70),Hspa1l Hsc70t,Mus musculus (Mouse),641
HS74L_MOUSE,P48722,HS74L_MOUSE,reviewed,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94),Hspa4l Apg1 Hsp4l Osp94,Mus musculus (Mouse),838
HS90A_MOUSE,P07901,HS90A_MOUSE,reviewed,Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA),Hsp90aa1 Hsp86 Hsp86-1 Hspca,Mus musculus (Mouse),733
HS90B_MOUSE,P11499,HS90B_MOUSE,reviewed,Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA),Hsp90ab1 Hsp84 Hsp84-1 Hspcb,Mus musculus (Mouse),724
HSDL2_MOUSE,Q2TPA8,HSDL2_MOUSE,reviewed,Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-),Hsdl2,Mus musculus (Mouse),490
HSP74_MOUSE,Q61316,HSP74_MOUSE,reviewed,Heat shock 70 kDa protein 4 (Heat shock 70-related protein APG-2),Hspa4 Apg2 Hsp110,Mus musculus (Mouse),841
HSP7C_MOUSE,P63017,HSP7C_MOUSE,reviewed,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8),Hspa8 Hsc70 Hsc73,Mus musculus (Mouse),646
HSPB1_MOUSE,P14602,HSPB1_MOUSE,reviewed,Heat shock protein beta-1 (HspB1) (Growth-related 25 kDa protein) (Heat shock 25 kDa protein) (HSP 25) (Heat shock 27 kDa protein) (HSP 27) (p25),Hspb1 Hsp25 Hsp27,Mus musculus (Mouse),209
HSPB8_MOUSE,Q9JK92,HSPB8_MOUSE,reviewed,Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (Small stress protein-like protein HSP22),Hspb8 Cryac Hsp22,Mus musculus (Mouse),196
HTAI2_MOUSE,Q9Z2G9,HTAI2_MOUSE,reviewed,Oxidoreductase HTATIP2 (EC 1.1.1.-),Htatip2 Cc3 Tip30,Mus musculus (Mouse),242
HTRA2_MOUSE,Q9JIY5,HTRA2_MOUSE,reviewed,"Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)",Htra2 Omi Prss25,Mus musculus (Mouse),458
HUTH_MOUSE,P35492,HUTH_MOUSE,reviewed,Histidine ammonia-lyase (Histidase) (EC 4.3.1.3),Hal Hsd Huth,Mus musculus (Mouse),657
HUTI_MOUSE,Q9DBA8,HUTI_MOUSE,reviewed,Probable imidazolonepropionase (EC 3.5.2.7) (Amidohydrolase domain-containing protein 1),Amdhd1,Mus musculus (Mouse),426
HUTU_MOUSE,Q8VC12,HUTU_MOUSE,reviewed,Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase),Uroc1,Mus musculus (Mouse),676
HUWE1_MOUSE,Q7TMY8,HUWE1_MOUSE,reviewed,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (E3Histone) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",Huwe1 Kiaa0312 Ureb1,Mus musculus (Mouse),4377
HVM12_MOUSE,P01756,HVM12_MOUSE,reviewed,Ig heavy chain V region MOPC 104E,,Mus musculus (Mouse),117
HXK4_MOUSE,P52792,HXK4_MOUSE,reviewed,Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D),Gck Gk,Mus musculus (Mouse),465
HYEP_MOUSE,Q9D379,HYEP_MOUSE,reviewed,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH),Ephx1,Mus musculus (Mouse),455
HYES_MOUSE,P34914,HYES_MOUSE,reviewed,Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)],Ephx2 Eph2,Mus musculus (Mouse),554
HYKK_MOUSE,Q5U5V2,HYKK_MOUSE,reviewed,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1),Hykk Agphd1,Mus musculus (Mouse),376
HYOU1_MOUSE,Q9JKR6,HYOU1_MOUSE,reviewed,Hypoxia up-regulated protein 1 (GRP-170) (140 kDa Ca(2+)-binding protein) (CBP-140),Hyou1 Grp170,Mus musculus (Mouse),999
HYPDH_MOUSE,Q8VCZ9,HYPDH_MOUSE,reviewed,Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (MmPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2) (Proline oxidase-like protein) (PO) (Proline oxidase),Prodh2 Hypdh,Mus musculus (Mouse),456
I23O2_MOUSE,Q8R0V5,I23O2_MOUSE,reviewed,"Indoleamine 2,3-dioxygenase 2 (IDO-2) (EC 1.13.11.-) (Indoleamine 2,3-dioxygenase-like protein 1) (Indoleamine-pyrrole 2,3-dioxygenase-like protein 1)",Ido2 Indol1,Mus musculus (Mouse),405
IAH1_MOUSE,Q9DB29,IAH1_MOUSE,reviewed,Isoamyl acetate-hydrolyzing esterase 1 homolog (EC 3.1.-.-),Iah1,Mus musculus (Mouse),249
IC1_MOUSE,P97290,IC1_MOUSE,reviewed,Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1),Serping1 C1nh,Mus musculus (Mouse),504
ICAL_MOUSE,P51125,ICAL_MOUSE,reviewed,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),788
ICAM1_MOUSE,P13597,ICAM1_MOUSE,reviewed,Intercellular adhesion molecule 1 (ICAM-1) (MALA-2) (MyD10) (CD antigen CD54),Icam1 Icam-1,Mus musculus (Mouse),537
ICA_MOUSE,Q9DBD0,ICA_MOUSE,reviewed,Inhibitor of carbonic anhydrase,Ica,Mus musculus (Mouse),700
IDE_MOUSE,Q9JHR7,IDE_MOUSE,reviewed,Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin),Ide,Mus musculus (Mouse),1019
IDH3A_MOUSE,Q9D6R2,IDH3A_MOUSE,reviewed,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)",Idh3a,Mus musculus (Mouse),366
IDHC_MOUSE,O88844,IDHC_MOUSE,reviewed,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),Idh1,Mus musculus (Mouse),414
IDHG1_MOUSE,P70404,IDHG1_MOUSE,reviewed,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)",Idh3g,Mus musculus (Mouse),393
IDHP_MOUSE,P54071,IDHP_MOUSE,reviewed,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",Idh2,Mus musculus (Mouse),452
IDI1_MOUSE,P58044,IDI1_MOUSE,reviewed,Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1),Idi1,Mus musculus (Mouse),227
IF1A_MOUSE,Q60872,IF1A_MOUSE,reviewed,Eukaryotic translation initiation factor 1A (eIF-1A) (Eukaryotic translation initiation factor 4C) (eIF-4C),Eif1a,Mus musculus (Mouse),144
IF2A_MOUSE,Q6ZWX6,IF2A_MOUSE,reviewed,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha),Eif2s1 Eif2a,Mus musculus (Mouse),315
IF2B_MOUSE,Q99L45,IF2B_MOUSE,reviewed,Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta),Eif2s2,Mus musculus (Mouse),331
IF2G_MOUSE,Q9Z0N1,IF2G_MOUSE,reviewed,"Eukaryotic translation initiation factor 2 subunit 3, X-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, X-linked) (eIF-2-gamma X)",Eif2s3x,Mus musculus (Mouse),472
IF2H_MOUSE,Q9Z0N2,IF2H_MOUSE,reviewed,"Eukaryotic translation initiation factor 2 subunit 3, Y-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y) (Spermatogonial proliferation factor) (Spy)",Eif2s3y,Mus musculus (Mouse),472
IF2M_MOUSE,Q91YJ5,IF2M_MOUSE,reviewed,"Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))",Mtif2,Mus musculus (Mouse),727
IF2P_MOUSE,Q05D44,IF2P_MOUSE,reviewed,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),Eif5b If2,Mus musculus (Mouse),1216
IF4A1_MOUSE,P60843,IF4A1_MOUSE,reviewed,Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1),Eif4a1 Ddx2a Eif4a,Mus musculus (Mouse),406
IF4A2_MOUSE,P10630,IF4A2_MOUSE,reviewed,Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2),Eif4a2 Ddx2b,Mus musculus (Mouse),407
IF4A3_MOUSE,Q91VC3,IF4A3_MOUSE,reviewed,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",Eif4a3 Ddx48,Mus musculus (Mouse),411
IF4B_MOUSE,Q8BGD9,IF4B_MOUSE,reviewed,Eukaryotic translation initiation factor 4B (eIF-4B),Eif4b,Mus musculus (Mouse),611
IF4E_MOUSE,P63073,IF4E_MOUSE,reviewed,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit),Eif4e,Mus musculus (Mouse),217
IF4G1_MOUSE,Q6NZJ6,IF4G1_MOUSE,reviewed,Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1),Eif4g1,Mus musculus (Mouse),1600
IF4G2_MOUSE,Q62448,IF4G2_MOUSE,reviewed,Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Novel APOBEC-1 target 1) (Translation repressor NAT1) (p97),Eif4g2 Nat1,Mus musculus (Mouse),906
IF4G3_MOUSE,Q80XI3,IF4G3_MOUSE,reviewed,Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII),Eif4g3,Mus musculus (Mouse),1579
IF4H_MOUSE,Q9WUK2,IF4H_MOUSE,reviewed,Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein homolog),Eif4h Wbscr1,Mus musculus (Mouse),248
IF5A1_MOUSE,P63242,IF5A1_MOUSE,reviewed,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (eIF-4D),Eif5a,Mus musculus (Mouse),154
IF5_MOUSE,P59325,IF5_MOUSE,reviewed,Eukaryotic translation initiation factor 5 (eIF-5),Eif5,Mus musculus (Mouse),429
IF6_MOUSE,O55135,IF6_MOUSE,reviewed,Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP)),Eif6 Itgb4bp,Mus musculus (Mouse),245
IFI4_MOUSE,P0DOV2,IFI4_MOUSE,reviewed,Interferon-activable protein 204 (Ifi-204) (Interferon-inducible protein p204),Ifi204,Mus musculus (Mouse),619
IGH1M_MOUSE,P01869,IGH1M_MOUSE,reviewed,"Ig gamma-1 chain C region, membrane-bound form",Ighg1 Igh-4,Mus musculus (Mouse),393
IGHA_MOUSE,P01878,IGHA_MOUSE,reviewed,Ig alpha chain C region,,Mus musculus (Mouse),344
IGHG3_MOUSE,P03987,IGHG3_MOUSE,reviewed,Ig gamma-3 chain C region,,Mus musculus (Mouse),398
IGHM_MOUSE,P01872,IGHM_MOUSE,reviewed,Immunoglobulin heavy constant mu [Cleaved into: Mu' chain (55 kDa mu' chain)],Ighm Igh-6,Mus musculus (Mouse),454
IGKC_MOUSE,P01837,IGKC_MOUSE,reviewed,Immunoglobulin kappa constant (Ig kappa chain C region MOPC 21),Igkc,Mus musculus (Mouse),107
IIGP1_MOUSE,Q9QZ85,IIGP1_MOUSE,reviewed,Interferon-inducible GTPase 1 (EC 3.6.5.-),Iigp1 Irga6,Mus musculus (Mouse),413
ILEUA_MOUSE,Q9D154,ILEUA_MOUSE,reviewed,Leukocyte elastase inhibitor A (Serine protease inhibitor EIA) (Serpin B1a),Serpinb1a Serpinb1,Mus musculus (Mouse),379
ILF2_MOUSE,Q9CXY6,ILF2_MOUSE,reviewed,Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa),Ilf2 Nf45,Mus musculus (Mouse),390
ILK_MOUSE,O55222,ILK_MOUSE,reviewed,Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK),Ilk ILK1 ILK2,Mus musculus (Mouse),452
IMA3_MOUSE,O35343,IMA3_MOUSE,reviewed,Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4),Kpna4 Qip1,Mus musculus (Mouse),521
IMA4_MOUSE,O35344,IMA4_MOUSE,reviewed,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3),Kpna3 Qip2,Mus musculus (Mouse),521
IMA5_MOUSE,Q60960,IMA5_MOUSE,reviewed,Importin subunit alpha-5 (Importin alpha-S1) (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta),Kpna1 Rch2,Mus musculus (Mouse),538
IMA7_MOUSE,O35345,IMA7_MOUSE,reviewed,Importin subunit alpha-7 (Importin alpha-S2) (Karyopherin subunit alpha-6),Kpna6 Kpna5,Mus musculus (Mouse),536
IMB1_MOUSE,P70168,IMB1_MOUSE,reviewed,Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG),Kpnb1 Impnb,Mus musculus (Mouse),876
IMDH2_MOUSE,P24547,IMDH2_MOUSE,reviewed,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II),Impdh2,Mus musculus (Mouse),514
IMPA1_MOUSE,O55023,IMPA1_MOUSE,reviewed,Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1),Impa1,Mus musculus (Mouse),277
IN35_MOUSE,Q9D8C4,IN35_MOUSE,reviewed,Interferon-induced 35 kDa protein homolog (IFP 35) (Ifi-35),Ifi35 Ifp35,Mus musculus (Mouse),286
INMT_MOUSE,P40936,INMT_MOUSE,reviewed,Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT),Inmt Temt,Mus musculus (Mouse),264
INPP_MOUSE,P49442,INPP_MOUSE,reviewed,Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57),Inpp1,Mus musculus (Mouse),396
IPO5_MOUSE,Q8BKC5,IPO5_MOUSE,reviewed,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),Ipo5 Kpnb3 Ranbp5,Mus musculus (Mouse),1097
IPO7_MOUSE,Q9EPL8,IPO7_MOUSE,reviewed,Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7),Ipo7 Ranbp7,Mus musculus (Mouse),1038
IPYR2_MOUSE,Q91VM9,IPYR2_MOUSE,reviewed,"Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 2) (PPase 2)",Ppa2,Mus musculus (Mouse),330
IPYR_MOUSE,Q9D819,IPYR_MOUSE,reviewed,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),Ppa1 Pp Pyp,Mus musculus (Mouse),289
IQGA1_MOUSE,Q9JKF1,IQGA1_MOUSE,reviewed,Ras GTPase-activating-like protein IQGAP1,Iqgap1,Mus musculus (Mouse),1657
IQGA2_MOUSE,Q3UQ44,IQGA2_MOUSE,reviewed,Ras GTPase-activating-like protein IQGAP2,Iqgap2,Mus musculus (Mouse),1575
IRF3_MOUSE,P70671,IRF3_MOUSE,reviewed,Interferon regulatory factor 3 (IRF-3),Irf3,Mus musculus (Mouse),419
IRGM1_MOUSE,Q60766,IRGM1_MOUSE,reviewed,Immunity-related GTPase family M protein 1 (EC 3.6.5.-) (Interferon-inducible GTPase 3) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47) (LRG-47),Irgm1 Ifi1 Iigp3 Irgm,Mus musculus (Mouse),409
ISC2A_MOUSE,P85094,ISC2A_MOUSE,reviewed,Isochorismatase domain-containing protein 2A,Isoc2a Isoc2,Mus musculus (Mouse),206
ISCU_MOUSE,Q9D7P6,ISCU_MOUSE,reviewed,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial (NifU-like N-terminal domain-containing protein) (NifU-like protein)",Iscu Nifun,Mus musculus (Mouse),168
ISOC1_MOUSE,Q91V64,ISOC1_MOUSE,reviewed,Isochorismatase domain-containing protein 1,Isoc1,Mus musculus (Mouse),297
ITA1_MOUSE,Q3V3R4,ITA1_MOUSE,reviewed,Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a),Itga1,Mus musculus (Mouse),1179
ITAV_MOUSE,P43406,ITAV_MOUSE,reviewed,Integrin alpha-V (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain],Itgav,Mus musculus (Mouse),1044
ITB1_MOUSE,P09055,ITB1_MOUSE,reviewed,Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29),Itgb1,Mus musculus (Mouse),798
ITB2_MOUSE,P11835,ITB2_MOUSE,reviewed,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",Itgb2,Mus musculus (Mouse),771
ITIH1_MOUSE,Q61702,ITIH1_MOUSE,reviewed,Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1),Itih1,Mus musculus (Mouse),907
ITIH2_MOUSE,Q61703,ITIH2_MOUSE,reviewed,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2),Itih2,Mus musculus (Mouse),946
ITIH4_MOUSE,A6X935,ITIH4_MOUSE,reviewed,"Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)",Itih4,Mus musculus (Mouse),942
ITPA_MOUSE,Q9D892,ITPA_MOUSE,reviewed,Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase),Itpa,Mus musculus (Mouse),198
ITSN1_MOUSE,Q9Z0R4,ITSN1_MOUSE,reviewed,Intersectin-1 (EH and SH3 domains protein 1),Itsn1 Ese1 Itsn,Mus musculus (Mouse),1714
IVD_MOUSE,Q9JHI5,IVD_MOUSE,reviewed,"Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)",Ivd,Mus musculus (Mouse),424
IYD1_MOUSE,Q9DCX8,IYD1_MOUSE,reviewed,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),Iyd Dehal1,Mus musculus (Mouse),285
JAM1_MOUSE,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
K1C13_MOUSE,P08730,K1C13_MOUSE,reviewed,"Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)",Krt13 Krt1-13,Mus musculus (Mouse),437
K1C14_MOUSE,Q61781,K1C14_MOUSE,reviewed,"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)",Krt14 Krt1-14,Mus musculus (Mouse),484
K1C16_MOUSE,Q9Z2K1,K1C16_MOUSE,reviewed,"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)",Krt16 Krt1-16,Mus musculus (Mouse),469
K1C18_MOUSE,P05784,K1C18_MOUSE,reviewed,"Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",Krt18 Kerd Krt1-18,Mus musculus (Mouse),423
K1C19_MOUSE,P19001,K1C19_MOUSE,reviewed,"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)",Krt19 Krt1-19,Mus musculus (Mouse),403
K1C42_MOUSE,Q6IFX2,K1C42_MOUSE,reviewed,"Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-17n) (Keratin-42) (K42) (Type I keratin Ka22)",Krt42 Ka22,Mus musculus (Mouse),452
K2C1B_MOUSE,Q6IFZ6,K2C1B_MOUSE,reviewed,"Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Embryonic type II keratin-1) (Keratin-77) (K77) (Type-II keratin Kb39)",Krt77 Krt1b,Mus musculus (Mouse),572
K2C1_MOUSE,P04104,K2C1_MOUSE,reviewed,"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)",Krt1 Krt2-1,Mus musculus (Mouse),637
K2C5_MOUSE,Q922U2,K2C5_MOUSE,reviewed,"Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)",Krt5 Krt2-5,Mus musculus (Mouse),580
K2C6A_MOUSE,P50446,K2C6A_MOUSE,reviewed,"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)",Krt6a Ker2 Krt2-6 Krt2-6a Krt6,Mus musculus (Mouse),553
K2C72_MOUSE,Q6IME9,K2C72_MOUSE,reviewed,"Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)",Krt72 Kb35 Krt72-ps,Mus musculus (Mouse),520
K2C73_MOUSE,Q6NXH9,K2C73_MOUSE,reviewed,"Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)",Krt73 Kb36,Mus musculus (Mouse),539
