ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
5936,"Ksr1-CK2-MEK-14-3-3 complex, PDGF treated",Mouse,None,"NIH3T3 cells, brain",O54833;P31938;P63101;P67871;Q60737;Q61097,13000;26395;22631;13001;12995;16706,MI:0007-anti tag coimmunoprecipitation,GO:0006468;GO:0000165;GO:0005886,protein phosphorylation;MAPK cascade;plasma membrane,14.07.03;30.01.05.01.03;70.02,"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached",17174095,"The authors showed that mutation of lysine 360 and arginine 363 to either alanine residues (KR/AA) or to glutamine and glycine residues KR/QG (as found in the C-Raf C1 domain) abolished CK2 binding but had no effect on the association of MEK and 14-3-3, proteins that bind to sites outside the C1 domain.",None,"Since the authors did not specify Mek, we used Mek1.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Casein kinase II subunit alpha';Dual specificity mitogen-activated protein kinase kinase 1;14-3-3 protein zeta/delta;Casein kinase II subunit beta;Casein kinase II subunit alpha;Kinase suppressor of Ras 1,Csnk2a2;Map2k1;Ywhaz;Csnk2b;Csnk2a1;Ksr1,"None;Mek1, Prkmk1;None;Ck2n;Ckiia;Ksr"
5937,B-Ksr1-MEK-MAPK-14-3-3 complex,Mouse,None,adult forebrain neurons,P31938;P63085;P63101;Q61097,26395;26413;22631;16706,MI:0006-anti bait coimmunoprecipitation,GO:0000165;GO:0022008;GO:0048699,MAPK cascade;neurogenesis;generation of neurons,30.01.05.01.03;41.05.13,MAPKKK cascade;neurogenesis,10891492,Experiments done in RASV12 activated 293 cells and in lysates of mouse brain.,None,"B-Ksr1, (corresponding to isoform 2 in Swiss-Prot: Q61097) is a splice variant that is highly expressed in brain-derived tissues. Since the authors did not specify Mek, we used isoform Mek1.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Dual specificity mitogen-activated protein kinase kinase 1;Mitogen-activated protein kinase 1;14-3-3 protein zeta/delta;Kinase suppressor of Ras 1,Map2k1;Mapk1;Ywhaz;Ksr1,"Mek1, Prkmk1;Erk2, Mapk, Prkm1;None;Ksr"
5946,"Ksr1-Mek-Braf complex, EGF induced",Mouse,None,MEF cells,P28028;P31938;Q61097,109880;26395;16706,MI:0007-anti tag coimmunoprecipitation,GO:0000165,MAPK cascade,30.01.05.01.03,MAPKKK cascade,19541618,"The authors conclude that ternary interactions between KSR1, MEK, and B-Raf facilitate signal transmission from B-Raf to MEK.",None,"Since the authors did not specify Mek, we used isoform Mek1.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Serine/threonine-protein kinase B-raf;Dual specificity mitogen-activated protein kinase kinase 1;Kinase suppressor of Ras 1,Braf;Map2k1;Ksr1,"B-raf;Mek1, Prkmk1;Ksr"
5947,"Ksr1-Mek-Braf-Erk complex, EGF induced",Mouse,None,MEF cells,P28028;P31938;Q61097;Q63844,109880;26395;16706;26417,MI:0007-anti tag coimmunoprecipitation,GO:0000165,MAPK cascade,30.01.05.01.03,MAPKKK cascade,19541618,"The authors found that the docking of activated ERK to the KSR1 complex accelerates the phosphorylation of these sites in response to growth factor treatment. As a functional consequence, phosphorylation of B-Raf and KSR1 on the S/TP sites disrupts the B-Raf/KSR1 interaction and promotes the release of KSR1 from the plasma membrane. Thus, the docking of activated ERK downregulates KSR1's scaffold activity and its ability to potentiate signal transmission from B-Raf to MEK.",None,"Since the authors did not specify Mek as well as Erk, we used isoform Mek1 and isoform ERK1, respectively",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Serine/threonine-protein kinase B-raf;Dual specificity mitogen-activated protein kinase kinase 1;Kinase suppressor of Ras 1;Mitogen-activated protein kinase 3,Braf;Map2k1;Ksr1;Mapk3,"B-raf;Mek1, Prkmk1;Ksr;Erk1, Prkm3"
6048,Dynein-dynactin complex,Mouse,None,None,O08788;O88485;Q99KJ8,None;None;None,MI:0029-cosedimentation through density gradients,GO:0030705,cytoskeleton-dependent intracellular transport,20.09.14,cytoskeleton-dependent transport,18094236,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Dynactin subunit 1;Cytoplasmic dynein 1 intermediate chain 1;Dynactin subunit 2,Dctn1;Dync1i1;Dctn2,None;Dnci1 Dncic1;None
6062,Disc1-Immt complex,Mouse,None,CAD cells,Q811T9;Q8CAQ8,244667;76614,MI:0019-coimmunoprecipitation,None,None,None,None,20880836,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Disrupted in schizophrenia 1 homolog;MICOS complex subunit Mic60,Disc1;Immt,None;Mic60
6105,CCT-gelsolin complex,Mouse,Tcp1-Gsn complex,None,P11983;P13020,21454;227753,MI:0019- coimmunoprecipitation,GO:0048870,cell motility,None,None,26364302,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),T-complex protein 1 subunit alpha;Gelsolin,Tcp1;Gsn,"Cct1, Ccta;Gsb"
6177,PPARgamma-pERK complex,Mouse,Pparg-Mapk1 complex,hippocampal cells,P37238;P63085,19016;26413,MI:0019- coimmunoprecipitation,GO:0035357;GO:0070372,peroxisome proliferator activated receptor signaling pathway;regulation of ERK1 and ERK2 cascade,None,None,24623782,"Coimmunoprecipitation of hippocampal extracts revealed that PPARgamma and activated, phosphorylated ERK (pERK) associated in Tg2576 in vivo, and that PPARgamma agonism facilitated recruitment of PPARgamma to pERK during memory consolidation. The amount of PPARgamma recruited to pERK correlated with the cognitive reserve in humans with AD and in Tg2576. The finding that PPARgamma association with pERK in vivo was increased in RSG-treated Tg2576 mice only during memory consolidation suggests a dynamic ligand-dependent (RSG) mechanism for recruitment of pERK and other signaling partners (e.g. MEK and p90RSK).",PPARgamma recruitment to active ERK during memory consolidation is required for Alzheimer disease-related cognitive enhancement.,None,Mus musculus (Mouse);Mus musculus (Mouse),Peroxisome proliferator-activated receptor gamma ;Mitogen-activated protein kinase 1,Pparg;Mapk1,"Nr1c3;Erk2, Mapk, Prkm1"
6240,PMCA1-alpha-1-syntrophin-NOS-1 complex,Mouse,Atp2b1-Snta1-Nos1 complex,cardiac muscle cells,G5E829;Q61234;Q9Z0J4,67972;20648;18125,MI:0019- coimmunoprecipitation,GO:0050999,regulation of nitric-oxide synthase activity,None,None,16735509,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Plasma membrane calcium-transporting ATPase 1 ;Alpha-1-syntrophin;Nitric oxide synthase, brain",Atp2b1;Snta1;Nos1,;Snt1;None
6252,Rabep1-Ap1g1-Ap1s1 complex,Mouse,None,Fibroblast cells,O35551;P22892;P61967,54189;11765;11769,MI:0019- coimmunoprecipitation;MI:0096- pull down,GO:0055038,recycling endosome membrane,None,None,12773381,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Rab GTPase-binding effector protein 1;AP-1 complex subunit gamma-1;AP-1 complex subunit sigma-1A,Rabep1;Ap1g1;Ap1s1,Rab5ep Rabpt5 Rabpt5a;Adtg Clapg1;Ap19
6258,FXN-ISCU-NFS1-ISD11 complex,Mammalia,None,HeLa cells,Q16595;Q8K215;Q9D7P6;Q9Z1J3,2395;380840;66383;18041,MI:0096- pull down;MI:0019- coimmunoprecipitation,GO:1903329;GO:0005739,regulation of iron-sulfur cluster assembly;mitochondrion,70.16,mitochondrion,21298097,None,OMIM:229300 Friedreich ataxia,None,Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Frataxin, mitochondrial;LYR motif-containing protein 4;Iron-sulfur cluster assembly enzyme ISCU, mitochondrial ;Cysteine desulfurase, mitochondrial",FXN;Lyrm4;Iscu;Nfs1,FRDA X25;Isd11;Nifun;Nifs
6262,L11-HDM2-p53-ARF complex,Mouse,None,None,P02340;P23804;Q64364;Q9CXW4,22059;17246;12578;67025,MI:0402- chromatin immunoprecipitation assays,GO:0090071;GO:0030308;GO:0008284,negative regulation of ribosome biogenesis;negative regulation of cell growth;positive regulation of cell proliferation,None,None,14612427,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Cellular tumor antigen p53 ;E3 ubiquitin-protein ligase Mdm2 ;Tumor suppressor ARF ;60S ribosomal protein L11,Tp53;Mdm2;Cdkn2a;Rpl11,P53 Trp53;;;
6281,PAI-1-uPA-uPAR-LRP complex,Mouse,None,None,P06869;P22777;P35456;Q91ZX7,18792;None;18793;16971,MI:0047- far western blotting,GO:0030336,negative regulation of cell migration,None,None,9497365,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Urokinase-type plasminogen activator ;Plasminogen activator inhibitor 1 ;Urokinase plasminogen activator surface receptor ;Prolow-density lipoprotein receptor-related protein 1,Plau;Serpine1;Plaur;Lrp1,;Mr1 Pai1 Planh1;;A2mr
6327,Dystrophin complex (Dmd; Stnb1),Mouse,None,skeletal muscle,P11531;Q99L88,13405;20649,MI:0019-coimmunoprecipitation,None,None,None,None,9214383,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Dystrophin;Beta-1-syntrophin,Dmd;Sntb1,None;Snt2b1
6328,Utrophin complex,Mouse,Sntb1-Utrn complex,skeletal muscle,E9Q6R7;Q99L88,22288;20649,MI:0019-coimmunoprecipitation,None,None,None,None,9214383,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Utrophin;Beta-1-syntrophin,Utrn;Sntb1,None;Snt2b1
6335,PKA-RII-AKAP18gamma complex,Mammalia,None,None,O43687;P05132;P12367;P68181,9465;18747;19087;18749,MI:0040-electron microscopy,None,None,None,None,24192038,None,None,None,Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),A-kinase anchor protein 7 isoforms alpha and beta ;cAMP-dependent protein kinase catalytic subunit alpha ;cAMP-dependent protein kinase type II-alpha regulatory subunit;cAMP-dependent protein kinase catalytic subunit beta,AKAP7;Prkaca;Prkar2a;Prkacb,AKAP15 AKAP18;Pkaca;;Pkacb
6366,"MCC complex (p85alpha, p110alpha, Akt,14-3-3theta, beta-catenin)",Mouse,"Multiprotein cytosolic complex, Pik3r1-Pik3ca-Akt1-Ywhaz-",Intestinal epithelial cells,P26450;P31750;P42337;P63101;Q02248,18708;11651;18706;22631;12387,MI:0019-coimmunoprecipitation,GO:0050727,regulation of inflammatory response,None,None,26565021,None,Colitis and colitis-associated cancer (PMID:26565021).,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Phosphatidylinositol 3-kinase regulatory subunit alpha;RAC-alpha serine/threonine-protein kinase;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform ;14-3-3 protein zeta/delta;Catenin beta-1",Pik3r1;Akt1;Pik3ca;Ywhaz;Ctnnb1,"None;Akt, Rac;;None;Catnb"
6387,Ship1-Hdac1-Hspa2-Kctd19 complex,Mouse,None,testis,O09106;P17156;Q562E2;Q9ES52,433759;15512;279499;16331,MI:0019-coimmunoprecipitation,GO:0005634;GO:0007283;GO:0006338,nucleus;spermatogenesis;chromatin remodeling,70.1,nucleus,18849567,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Histone deacetylase 1;Heat shock-related 70 kDa protein 2;BTB/POZ domain-containing protein KCTD19;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",Hdac1;Hspa2;Kctd19;Inpp5d,None;None;None;7a33 Ship Ship1
6397,Dnajc5-Sgta complex,Mouse,None,MIN6 cells,P60904;P63017;Q8BJU0,13002;15481;52551,MI:0007-anti tag coimmunoprecipitation,GO:0016020;GO:0005802,membrane;trans-Golgi network,None,None,17034881,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),DnaJ homolog subfamily C member 5;Heat shock cognate 71 kDa protein;Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Dnajc5;Hspa8;Sgta,None;Hsc70 Hsc73;Sgt
6398,Dnajc5b-Sgta-Hsc70 complex,Mouse,None,MIN6 cells,P63017;Q8BJU0;Q9CQ94,15481;52551;66326,MI:0007-anti tag coimmunoprecipitation,GO:0031982;GO:0016020;GO:0007268,vesicle;membrane;synaptic transmission,34.03.01,synaptic transmission,17034881,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Heat shock cognate 71 kDa protein;Small glutamine-rich tetratricopeptide repeat-containing protein alpha;DnaJ homolog subfamily C member 5B,Hspa8;Sgta;Dnajc5b,Hsc70 Hsc73;Sgt;None
6408,p85alpha-SHP2-Gab2 complex,Mouse,None,32D cells,P35235;P70305;Q9Z1S8,19247;18708;14389,MI:0019-coimmunoprecipitation,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,None,None,22806893,None,"OMIM:601626 Leukemia, acute myeloid and systemic mastocytosis (PMID:22806893).",None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 11;Phosphatidylinositol 3-kinase regulatory subunit alpha;GRB2-associated-binding protein 2,Ptpn11;Pik3r1;Gab2,None;None;None
6475,Dnm1l-Mff complex,Mouse,Drp1-Mff complex,None,Q6PCP5;Q8K1M6,75734;74006,MI:0027-cosedimentation,GO:0000266,mitochondrial fission,None,None,26446846,"Residing in the cytosol as dimers and tetramers, Drp1 is recruited by receptors (Mff; Fis1; MiD51 and MiD49) on the mitochondrial outer membrane, where it further assembles into a helical ring that drives division via GTP-dependent constriction.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Mitochondrial fission factor;Dynamin-1-like protein,Mff;Dnm1l,None;Drp1
6478,Dnm1l-Mief1 complex,Mouse,Drp1-MiD51 complex,None,Q8BGV8;Q8K1M6,239555;74006,MI:0027-cosedimentation,GO:0000266,mitochondrial fission,None,None,26446846,"Residing in the cytosol as dimers and tetramers, Drp1 is recruited by receptors (Mff; Fis1; MiD51 and MiD49) on the mitochondrial outer membrane, where it further assembles into a helical ring that drives division via GTP-dependent constriction.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Mitochondrial dynamics protein MID51;Dynamin-1-like protein,Mief1;Dnm1l,"Mid51,Smcr7l;Drp1"
6480,Ncam-Fgfr4 signaling complex,Mouse,Ncam-fibroblast-growth-factor receptor-4 signalling complex,Rip1Tag2 NCAM+/+ mice (model of pancreatic beta-cell carcinogenesis),P05480;P06837;P13595;P15116;Q03142;Q60598;Q62077;Q8C180,20779;14432;17967;12558;14186;13043;18803;327826,MI:0019-coimmunoprecipitation,GO:0031175;GO:0007160,neuron projection development;cell-matrix adhesion,34.07.02,cell-matrix adhesion,20798051,N-CAM stimulates beta1-integrin-mediated cell-matrix adhesion by activating FGFR signalling.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Neuronal proto-oncogene tyrosine-protein kinase Src;Neuromodulin;Neural cell adhesion molecule 1;Cadherin-2;Fibroblast growth factor receptor 4;Src substrate cortactin;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;Fibroblast growth factor receptor substrate 2",Src;Gap43;Ncam1;Cdh2;Fgfr4;Cttn;Plcg1;Frs2,pp60c-src;Basp2;Ncam;None;None;Ems1;Plcg-1;Frs2a
6543,Spg33-Rtn4 complex,Mouse,Zfyve27-Rtn4 complex; Protrudin-Reticulon4 complex,brain,Q3TXX3;Q99P72,319740;68585,MI:0004-affinity chromatography technologies,GO:0005783;GO:0071787;GO:0071788;GO:0016192,endoplasmic reticulum;endoplasmic reticulum tubular network assembly;endoplasmic reticulum tubular network maintenance;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)",24668814,"Protrudin is an integral membrane protein that regulates polarized vesicular trafficking in neurons. It possesses a hairpin domain and interacts with HSP-related proteins including myelin proteolipid protein 1 (SPG2), atlastin-1 (SPG3A), REEP1 (SPG31), REEP5 (similar to REEP1), Kif5A (SPG10), Kif5B, Kif5C, andreticulon 1, 3, and 4 (similar to reticulon 2, SPG12). Membrane topology analysis indicated that one of three hydrophobic segments of protrudin forms a hydrophobic hairpin domain similar to those of other SPG proteins. Protrudin was found to localize predominantly to the tubular endoplasmic reticulum (ER), and forced expression of protrudin promoted the formation and stabilization of the tubular ER network. Protrudin facilitates the interaction of Kif5 with Rab11, VAP family proteins, Surf4, and reticulon proteins, suggesting that it serves as an adaptor protein and that the protrudin-Kif5 complex contributes to the transport of these proteins in neurons.","The protrudin gene (ZFYVE27) is mutated in a subset of human individuals with hereditary spastic paraplegia (HSP), and protrudin is therefore also referred to as spastic paraplegia 33 (SPG33). It is suggested that protrudin contributes to the regulation of ER morphology and function, and that its deregulation by mutation is a causative defect in HSP.",None,Mus musculus (Mouse);Mus musculus (Mouse),Protrudin;Reticulon-4,Zfyve27;Rtn4,Spg33;Kiaa0886 Nogo
6547,Spg33-Kif5b complex,Mouse,Zfyve27-Kif5b complex; Protrudin-Kif5b complex,brain,Q3TXX3;Q61768,319740;16573,MI:0004-affinity chromatography technologies,GO:0005783;GO:0071787;GO:0071788;GO:0016192,endoplasmic reticulum;endoplasmic reticulum tubular network assembly;endoplasmic reticulum tubular network maintenance;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)",24668814,"Protrudin is an integral membrane protein that regulates polarized vesicular trafficking in neurons. It possesses a hairpin domain and interacts with HSP-related proteins including myelin proteolipid protein 1 (SPG2), atlastin-1 (SPG3A), REEP1 (SPG31), REEP5 (similar to REEP1), Kif5A (SPG10), Kif5B, Kif5C, andreticulon 1, 3, and 4 (similar to reticulon 2, SPG12). Membrane topology analysis indicated that one of three hydrophobic segments of protrudin forms a hydrophobic hairpin domain similar to those of other SPG proteins. Protrudin was found to localize predominantly to the tubular endoplasmic reticulum (ER), and forced expression of protrudin promoted the formation and stabilization of the tubular ER network. Protrudin facilitates the interaction of Kif5 with Rab11, VAP family proteins, Surf4, and reticulon proteins, suggesting that it serves as an adaptor protein and that the protrudin-Kif5 complex contributes to the transport of these proteins in neurons.","The protrudin gene (ZFYVE27) is mutated in a subset of human individuals with hereditary spastic paraplegia (HSP), and protrudin is therefore also referred to as spastic paraplegia 33 (SPG33). It is suggested that protrudin contributes to the regulation of ER morphology and function, and that its deregulation by mutation is a causative defect in HSP.",None,Mus musculus (Mouse);Mus musculus (Mouse),Protrudin;Kinesin-1 heavy chain,Zfyve27;Kif5b,"Spg33;Khcs, Kns1"
6560,PHB-ANX2-CD36 complex,Mouse,Adipocytes,Adypocytes,P07356;P67778;Q08857,12306;18673;12491,MI:0019-coimmunoprecipitation,GO:0015908,fatty acid transport,None,None,27468426,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Annexin A2;Prohibitin;Platelet glycoprotein 4,Anxa2;Phb;Cd36,"Anx2, Cal1h;Bap32;FAT, GPIV, Scarb3"
6595,Ccp110-Cep290-Rab8a complex,Mouse,None,Mouse 3T3 cells,P55258;Q6A078;Q7TSH4,17274;216274;101565,MI:0019-coimmunoprecipitation,GO:0060271,cilium assembly,None,None,18694559,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Ras-related protein Rab-8A;Centrosomal protein of 290 kDa;Centriolar coiled-coil protein of 110 kDa,Rab8a;Cep290;Ccp110,"Mel, Rab8;Kiaa0373, Nphp6;Cep110, Cp110, Kiaa0419"
6656,Nherf1-Fzd4-Vangl2 complex,Mouse,Slc9a3r1-Fzd4-Vangl2 complex,HEK293S GnTI cells,P70441;Q61088;Q91ZD4,26941;14366;93840,MI:0019-coimmunoprecipitation;MI:0051-fluorescence technologies,GO:0060271;GO:0060071,"cilium assembly;Wnt signaling pathway, planar cell polarity pathway",None,None,27055101,NHERF1 promotes the interaction of Vangl2 with Fzd4 by acting as a scaffold linking both proteins. NHERF1 is required for the apical localization of Vangl2 in ependyma.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Na(+)/H(+) exchange regulatory cofactor NHE-RF1;Frizzled-4;Vang-like protein 2,Slc9a3r1;Fzd4;Vangl2,"Nherf, Nherf1;None;Lpp1, Ltap"
6663,Ezrin-Nherf1-Irbit-NHE3 complex,Mouse,Ezr-Slc9a3r1-Ahcyl1-Slc9a3 complex,BBM (intestinal brush border membrane) vesicles (BBMVs),P26040;P70441;Q80SW1;Q9WUJ5,22350;26941;229709;None,MI:0404-comigration in non denaturing gel electropho,GO:0042045;GO:0035725;GO:1902600;GO:0051668,epithelial fluid transport;sodium ion transmembrane transport;hydrogen ion transmembrane transport;localization within membrane,None,None,26258413,"NHE3 activation by insulin requires IRBIT, NHERF1, and ezrin to incorporate NHE3 in macromolecular complexes that form the physical basis for NHE3 trafficking to the BBM (brush border membrane) of IECs ( intestinal epithelial cells).",The restoration of fluid absorption by activation of NHE3 by insulin or LPA indicates that NHE3 can act as a therapeutic target for the treatment of impaired fluid absorption in diabetes.,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Ezrin;Na(+)/H(+) exchange regulatory cofactor NHE-RF1;Putative adenosylhomocysteinase 2;Na+/H+ exchanger,Ezr;Slc9a3r1;Ahcyl1;Slc9a3,"Vil2;Nherf, Nherf1;Irbit;NHE-3"
6686,Actn4-Alms1 complex,Mouse,None,kidney,P57780;Q8K4E0,60595;236266,MI:0019-coimmunoprecipitation,GO:0032456,endocytic recycling,None,None,22693585,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Alpha-actinin-4;Alstrom syndrome protein 1 homolog,Actn4;Alms1,None;Kiaa0328
6694,Cxcr2-Nherf1-PLC-beta-2 complex,Mouse,None,bone marrow neutrophils,A3KGF7;P35343;P70441,18796;12765;26941,MI:0006-anti bait coimmunoprecipitation,GO:1990266;GO:0019722;GO:0030593;GO:0070098,neutrophil migration;calcium-mediated signaling;neutrophil chemotaxis;chemokine-mediated signaling pathway,30.01.09.03,Ca2+ mediated signal transduction,22203670,"The macromolecular Cxcr2-Nherf1-PLC-beta-2 signaling complex  enables CXCR2 to transduce its signal to PLC-\u00012 with efficiency and specificity, and this complex is a prerequisite for the CXCR2 ligand-induced calcium signaling and the resultant neutrophil migration during various inflammatory diseases, such as atherosclerosis, cystic fibrosis, and inflammatory bowel disease.",CXCR2 macromolecular complex might be a potential therapeutic target for neutrophil infiltration-associated inflammatory diseases.,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2;C-X-C chemokine receptor type 2;Na(+)/H(+) exchange regulatory cofactor NHE-RF1",Plcb2;Cxcr2;Slc9a3r1,"None;Cmkar2, Gpcr16, Il8rb;Nherf, Nherf1"
6723,"Grk6-Ags3-Galphai2 complex, CXCL8 activated",Mouse,"Grk6-Gpsm1-Gnai2 complex, CXCL8 activated","RBL-2H3 cells (rat basophilic leukemia cells), expressing CXCR2, human neutrophils, murine neutrophi",O70293;P08752;Q6IR34,26385;14678;67839,MI:0006-anti bait coimmunoprecipitation,GO:0070098,chemokine-mediated signaling pathway,None,None,24510965,"AGS3 complexes with Galphai2 and GRK6 to modulate CXCR2-mediated cellular functions including second messenger production, MAP kinase activation and chemotaxis.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),G protein-coupled receptor kinase 6;Guanine nucleotide-binding protein G;G-protein-signaling modulator 1,Grk6;Gnai2;Gpsm1,"Gprk6;Gnai-2;Ags3,C10a"
6752,Smad3-mSin3A-Hdac1 complex,Mouse,None,cardiac fibroblasts,O09106;Q60520;Q8BUN5,433759;20466;17127,MI:0402-chromatin immunoprecipitation assays,GO:0045892,"negative regulation of transcription, DNA-templated",11.02.03.04.03,transcription repression,27941310,"TGF-beta-1-induced inhibition of Pparg transcription depends on formation of a functional transcriptional regulatory complex that includes Smad3, mSin3A and Hdac1 at the Pparg promoter.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Mothers against decapentaplegic homolog 3,Hdac1;Sin3a;Smad3,None;Kiaa4126;Madh3
6774,Fhl1-Pdlim1-Gsn-Actn1 complex,Mouse,None,cardiac ventricle lysates,O70400;P13020;P97447;Q7TPR4,54132;227753;14199;109711,MI:0006-anti bait coimmunoprecipitation;MI:0416-fluorescence microscopy,None,None,None,None,21246116,Endogenous immunoprecipitation of the complex has been shown in wild type mouse  and transgenic R9C cardiac ventricle lysates using anti-FHL1 antibody.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),PDZ and LIM domain protein 1;Gelsolin;Four and a half LIM domains protein 1;Alpha-actinin-1,Pdlim1;Gsn;Fhl1;Actn1,Clim1;Gsb;None;None
6809,Arrb2-Akt-Ppp2ca complex,Mouse,None,striatal extracts,P31750;P63330;Q91YI4,11651;19052;216869,MI:0019-coimmunoprecipitation,GO:0043491;GO:0007186,protein kinase B signaling;G-protein coupled receptor signaling pathway,30.05.02.24,G-protein coupled receptor signalling pathway,18191226,"The formation of the Akt:bArr2:PP2A signaling complex normally promotes Akt dephosphorylation (PMID: 16051150).Lithium treatment shifts this equilibrium toward the activated state by destabilization of the complex , thereby resulting in increased phosphorylation/inactivation of GSK3-beta.bArr2 scaffolds Akt and PP2A in response to stimulation of GPCRs, such as the dopamine  D2 receptor.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),RAC-alpha serine/threonine-protein kinase;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Beta-arrestin-2,Akt1;Ppp2ca;Arrb2,"Akt, Rac;None;None"
6810,Akt-Arrb2-Ppp2ca-Ppp2r2a complex,Mouse,None,striatal extracts,P31750;P63330;Q6P1F6;Q91YI4,11651;19052;71978;216869,MI:0019-coimmunoprecipitation;MI:0096-pull down,GO:0043491;GO:0007186,protein kinase B signaling;G-protein coupled receptor signaling pathway,30.05.02.24,G-protein coupled receptor signalling pathway,16051150,None,None,"Since the authors did not specify protein phosphatase 2A regulatory subunit B, we used isoform Ppp2r2a.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),RAC-alpha serine/threonine-protein kinase;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform;Beta-arrestin-2,Akt1;Ppp2ca;Ppp2r2a;Arrb2,"Akt, Rac;None;None;None"
6839,Slc34a1-Nherf1 complex,Mouse,NaPi-2a-Nherf1 complex,None,P70441;Q60825,26941;20505,MI:0019-coimmunoprecipitation,GO:0044341,sodium-dependent phosphate transport,None,None,22647968,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Na(+)/H(+) exchange regulatory cofactor NHE-RF1;Sodium-dependent phosphate transport protein 2A,Slc9a3r1;Slc34a1,"Nherf, Nherf1;Npt2, Slc17a2"
