yourlist:M20220311F248CABF64506F29A91F8037F07B67D145D581K,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q9DCX8,Q9DCX8,IYD1_MOUSE,reviewed,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),Iyd Dehal1,Mus musculus (Mouse),285
O88792,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
Q61781,Q61781,K1C14_MOUSE,reviewed,"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)",Krt14 Krt1-14,Mus musculus (Mouse),484
P05784,P05784,K1C18_MOUSE,reviewed,"Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",Krt18 Kerd Krt1-18,Mus musculus (Mouse),423
P19001,P19001,K1C19_MOUSE,reviewed,"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)",Krt19 Krt1-19,Mus musculus (Mouse),403
Q922U2,Q922U2,K2C5_MOUSE,reviewed,"Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)",Krt5 Krt2-5,Mus musculus (Mouse),580
P50446,P50446,K2C6A_MOUSE,reviewed,"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)",Krt6a Ker2 Krt2-6 Krt2-6a Krt6,Mus musculus (Mouse),553
P11679,P11679,K2C8_MOUSE,reviewed,"Keratin, type II cytoskeletal 8 (Cytokeratin endo A) (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)",Krt8 Krt2-8,Mus musculus (Mouse),490
Q9WTP6,Q9WTP6,KAD2_MOUSE,reviewed,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",Ak2,Mus musculus (Mouse),239
Q9WTP7,Q9WTP7,KAD3_MOUSE,reviewed,"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)",Ak3 Ak3l Ak3l1 Akl3l,Mus musculus (Mouse),227
Q9WUR9,Q9WUR9,KAD4_MOUSE,reviewed,"Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (Adenylate kinase isoenzyme 4) (GTP:AMP phosphotransferase AK4)",Ak4 Ak-4 Ak3b Ak3l1,Mus musculus (Mouse),223
P12367,P12367,KAP2_MOUSE,reviewed,cAMP-dependent protein kinase type II-alpha regulatory subunit,Prkar2a,Mus musculus (Mouse),401
Q8BTY1,Q8BTY1,KAT1_MOUSE,reviewed,Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I),Kyat1 Ccbl1 Kat,Mus musculus (Mouse),424
Q71RI9,Q71RI9,KAT3_MOUSE,reviewed,Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III),Kyat3 Ccbl2 Kat3,Mus musculus (Mouse),455
O88986,O88986,KBL_MOUSE,reviewed,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (AKB ligase) (EC 2.3.1.29) (Aminoacetone synthase) (Glycine acetyltransferase)",Gcat Kbl,Mus musculus (Mouse),416
Q9DBP5,Q9DBP5,KCY_MOUSE,reviewed,UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK),Cmpk1 Cmk Cmpk Uck Umk Umpk,Mus musculus (Mouse),196
Q9DCY0,Q9DCY0,KEG1_MOUSE,reviewed,Glycine N-acyltransferase-like protein Keg1 (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase protein Keg1) (Kidney-expressed gene 1 protein),Keg1,Mus musculus (Mouse),295
P97328,P97328,KHK_MOUSE,reviewed,Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase),Khk,Mus musculus (Mouse),298
Q9R008,Q9R008,KIME_MOUSE,reviewed,Mevalonate kinase (MK) (EC 2.7.1.36),Mvk,Mus musculus (Mouse),395
Q61768,Q61768,KINH_MOUSE,reviewed,Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC),Kif5b Khcs Kns1,Mus musculus (Mouse),963
Q91WN4,Q91WN4,KMO_MOUSE,reviewed,Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase),Kmo,Mus musculus (Mouse),479
O08677,O08677,KNG1_MOUSE,reviewed,Kininogen-1 [Cleaved into: Kininogen-1 heavy chain; Bradykinin; Kininogen-1 light chain],Kng1 Kng,Mus musculus (Mouse),661
Q7TSH2,Q7TSH2,KPBB_MOUSE,reviewed,Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta),Phkb,Mus musculus (Mouse),1085
Q9D0M1,Q9D0M1,KPRA_MOUSE,reviewed,Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39),Prpsap1,Mus musculus (Mouse),356
P52480,P52480,KPYM_MOUSE,reviewed,Pyruvate kinase PKM (EC 2.7.1.40) (Pyruvate kinase muscle isozyme),Pkm Pk3 Pkm2 Pykm,Mus musculus (Mouse),531
P53657,P53657,KPYR_MOUSE,reviewed,Pyruvate kinase PKLR (EC 2.7.1.40) (L-PK) (Pyruvate kinase isozymes L/R),Pklr,Mus musculus (Mouse),574
Q9CXF0,Q9CXF0,KYNU_MOUSE,reviewed,Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase),Kynu,Mus musculus (Mouse),464
Q91YP0,Q91YP0,L2HDH_MOUSE,reviewed,"L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)",L2hgdh,Mus musculus (Mouse),464
Q99KR3,Q99KR3,LACB2_MOUSE,reviewed,Endoribonuclease LACTB2 (Beta-lactamase-like protein 2) (EC 3.1.27.-),Lactb2,Mus musculus (Mouse),288
Q9EP89,Q9EP89,LACTB_MOUSE,reviewed,"Serine beta-lactamase-like protein LACTB, mitochondrial (EC 3.4.-.-)",Lactb Lact1,Mus musculus (Mouse),551
P17047,P17047,LAMP2_MOUSE,reviewed,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (Lysosomal membrane glycoprotein type B) (LGP-B) (CD antigen CD107b),Lamp2 Lamp-2,Mus musculus (Mouse),415
Q61029,Q61029,LAP2B_MOUSE,reviewed,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)",Tmpo Lap2,Mus musculus (Mouse),452
Q61792,Q61792,LASP1_MOUSE,reviewed,LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50),Lasp1 Mln50,Mus musculus (Mouse),263
P32067,P32067,LA_MOUSE,reviewed,Lupus La protein homolog (La autoantigen homolog) (La ribonucleoprotein),Ssb Ss-b,Mus musculus (Mouse),415
P06151,P06151,LDHA_MOUSE,reviewed,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M),Ldha Ldh-1 Ldh1,Mus musculus (Mouse),332
Q7TNG8,Q7TNG8,LDHD_MOUSE,reviewed,"Probable D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.2.4)",Ldhd,Mus musculus (Mouse),484
P16045,P16045,LEG1_MOUSE,reviewed,Galectin-1 (Gal-1) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (S-Lac lectin 1),Lgals1 Gbp,Mus musculus (Mouse),135
O08573,O08573,LEG9_MOUSE,reviewed,Galectin-9 (Gal-9),Lgals9,Mus musculus (Mouse),353
Q9Z2I0,Q9Z2I0,LETM1_MOUSE,reviewed,Mitochondrial proton/calcium exchanger protein (Leucine zipper-EF-hand-containing transmembrane protein 1),Letm1,Mus musculus (Mouse),738
O89017,O89017,LGMN_MOUSE,reviewed,"Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)",Lgmn Prsc1,Mus musculus (Mouse),435
Q9CPU0,Q9CPU0,LGUL_MOUSE,reviewed,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),Glo1,Mus musculus (Mouse),184
Q9D7I5,Q9D7I5,LHPP_MOUSE,reviewed,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1),Lhpp,Mus musculus (Mouse),270
Q9Z0M5,Q9Z0M5,LICH_MOUSE,reviewed,Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase),Lipa Lip1,Mus musculus (Mouse),397
Q9ERG0,Q9ERG0,LIMA1_MOUSE,reviewed,LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm) (mEPLIN),Lima1 D15Ertd366e Eplin,Mus musculus (Mouse),753
Q8JZS0,Q8JZS0,LIN7A_MOUSE,reviewed,Protein lin-7 homolog A (Lin-7A) (mLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Vertebrate lin-7 homolog 1) (Veli-1),Lin7a Mals1 Veli1,Mus musculus (Mouse),233
P63005,P63005,LIS1_MOUSE,reviewed,Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha),Pafah1b1 Lis-1 Lis1 Pafaha,Mus musculus (Mouse),410
P24527,P24527,LKHA4_MOUSE,reviewed,Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4),Lta4h,Mus musculus (Mouse),611
Q9D0F3,Q9D0F3,LMAN1_MOUSE,reviewed,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Lectin mannose-binding 1) (p58),Lman1 Ergic53,Mus musculus (Mouse),517
Q9DBH5,Q9DBH5,LMAN2_MOUSE,reviewed,Vesicular integral-membrane protein VIP36 (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36),Lman2,Mus musculus (Mouse),358
Q3U3R4,Q3U3R4,LMF1_MOUSE,reviewed,Lipase maturation factor 1 (Transmembrane protein 112),Lmf1 Tmem112,Mus musculus (Mouse),574
Q8C3X8,Q8C3X8,LMF2_MOUSE,reviewed,Lipase maturation factor 2 (Transmembrane protein 112B) (Transmembrane protein 153),Lmf2 Tmem112b Tmem153,Mus musculus (Mouse),702
P48678,P48678,LMNA_MOUSE,reviewed,Prelamin-A/C [Cleaved into: Lamin-A/C],Lmna Lmn1,Mus musculus (Mouse),665
P14733,P14733,LMNB1_MOUSE,reviewed,Lamin-B1,Lmnb1,Mus musculus (Mouse),588
P21619,P21619,LMNB2_MOUSE,reviewed,Lamin-B2,Lmnb2,Mus musculus (Mouse),596
Q8CGK3,Q8CGK3,LONM_MOUSE,reviewed,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",Lonp1 Prss15,Mus musculus (Mouse),949
Q9DBN5,Q9DBN5,LONP2_MOUSE,reviewed,"Lon protease homolog 2, peroxisomal (EC 3.4.21.53) (Lon protease-like protein 2) (Lon protease 2) (Peroxisomal Lon protease)",Lonp2,Mus musculus (Mouse),852
A0JNU3,A0JNU3,LPP60_MOUSE,reviewed,60 kDa lysophospholipase (EC 3.1.1.5) (Lysophospholipase-transacylase) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); 1-alkyl-2-acetylglycerophosphocholine esterase (EC 3.1.1.47) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)],Aspg,Mus musculus (Mouse),564
Q6PB66,Q6PB66,LPPRC_MOUSE,reviewed,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (mLRP130)",Lrpprc Lrp130,Mus musculus (Mouse),1392
Q8BFW7,Q8BFW7,LPP_MOUSE,reviewed,Lipoma-preferred partner homolog,Lpp,Mus musculus (Mouse),613
Q9ESE1,Q9ESE1,LRBA_MOUSE,reviewed,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein),Lrba Bgl Lba,Mus musculus (Mouse),2856
Q922Q8,Q922Q8,LRC59_MOUSE,reviewed,"Leucine-rich repeat-containing protein 59 [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]",Lrrc59,Mus musculus (Mouse),307
Q91ZX7,Q91ZX7,LRP1_MOUSE,reviewed,Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],Lrp1 A2mr,Mus musculus (Mouse),4545
O35900,O35900,LSM2_MOUSE,reviewed,U6 snRNA-associated Sm-like protein LSm2 (Protein G7b) (snRNP core Sm-like protein Sm-x5),Lsm2 G7b,Mus musculus (Mouse),95
Q8BLN5,Q8BLN5,LSS_MOUSE,reviewed,"Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC)",Lss,Mus musculus (Mouse),733
P70699,P70699,LYAG_MOUSE,reviewed,Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase),Gaa,Mus musculus (Mouse),953
P97823,P97823,LYPA1_MOUSE,reviewed,Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),Lypla1 Apt1 Pla1a,Mus musculus (Mouse),230
Q9WTL7,Q9WTL7,LYPA2_MOUSE,reviewed,Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase 2) (Lysophospholipase II) (LPL-II) (LysoPLA II) (mLyso II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),Lypla2,Mus musculus (Mouse),231
Q80WJ7,Q80WJ7,LYRIC_MOUSE,reviewed,Protein LYRIC (3D3/LYRIC) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein),Mtdh Lyric,Mus musculus (Mouse),579
Q9DBT9,Q9DBT9,M2GD_MOUSE,reviewed,"Dimethylglycine dehydrogenase, mitochondrial (EC 1.5.8.4) (ME2GLYDH)",Dmgdh,Mus musculus (Mouse),869
Q9CR62,Q9CR62,M2OM_MOUSE,reviewed,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (Solute carrier family 25 member 11),Slc25a11,Mus musculus (Mouse),314
P27046,P27046,MA2A1_MOUSE,reviewed,"Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)",Man2a1 Mana2,Mus musculus (Mouse),1150
O09159,O09159,MA2B1_MOUSE,reviewed,Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B),Man2b1 Laman Man2b Manb,Mus musculus (Mouse),1013
Q9WVL0,Q9WVL0,MAAI_MOUSE,reviewed,Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18),Gstz1 Maai,Mus musculus (Mouse),216
Q922B1,Q922B1,MACD1_MOUSE,reviewed,ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-),Macrod1 Lrp16,Mus musculus (Mouse),323
Q8BHE8,Q8BHE8,MAIP1_MOUSE,reviewed,"m-AAA protease-interacting protein 1, mitochondrial (Matrix AAA peptidase-interacting protein 1)",Maip1,Mus musculus (Mouse),291
Q8BI08,Q8BI08,MAL2_MOUSE,reviewed,Protein MAL2,Mal2,Mus musculus (Mouse),175
Q8K2I4,Q8K2I4,MANBA_MOUSE,reviewed,Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase),Manba Bmn,Mus musculus (Mouse),879
Q9CXI5,Q9CXI5,MANF_MOUSE,reviewed,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),Manf Armet,Mus musculus (Mouse),179
P06801,P06801,MAOX_MOUSE,reviewed,NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1),Me1 Mod-1 Mod1,Mus musculus (Mouse),572
Q8BP48,Q8BP48,MAP11_MOUSE,reviewed,Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1),Metap1,Mus musculus (Mouse),386
Q9CW42,Q9CW42,MARC1_MOUSE,reviewed,Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1) (MOSC domain-containing protein 1) (Moco sulfurase C-terminal domain-containing protein 1),Mtarc1 Marc1 Mosc1,Mus musculus (Mouse),340
Q922Q1,Q922Q1,MARC2_MOUSE,reviewed,Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2),Mtarc2 Marc2 Mg87 Mosc2,Mus musculus (Mouse),338
Q3KNM2,Q3KNM2,MARH5_MOUSE,reviewed,E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (RING-type E3 ubiquitin transferase MARCHF5),Marchf5 March5,Mus musculus (Mouse),278
Q99LB6,Q99LB6,MAT2B_MOUSE,reviewed,Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta),Mat2b,Mus musculus (Mouse),334
Q8K310,Q8K310,MATR3_MOUSE,reviewed,Matrin-3,Matr3,Mus musculus (Mouse),846
Q8VCF0,Q8VCF0,MAVS_MOUSE,reviewed,Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Virus-induced-signaling adapter) (VISA),Mavs Ips1 Visa,Mus musculus (Mouse),503
Q7TPV4,Q7TPV4,MBB1A_MOUSE,reviewed,Myb-binding protein 1A (Myb-binding protein of 160 kDa),Mybbp1a P160,Mus musculus (Mouse),1344
Q91V01,Q91V01,MBOA5_MOUSE,reviewed,Lysophospholipid acyltransferase 5 (LPLAT 5) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 3) (Lyso-PC acyltransferase 3) (mLPCAT3) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 5) (O-acyltransferase domain-containing protein 5),Lpcat3 Grcc3f Mboat5 Oact5,Mus musculus (Mouse),487
Q9D1M4,Q9D1M4,MCA3_MOUSE,reviewed,Eukaryotic translation elongation factor 1 epsilon-1 (Elongation factor p18) (Multisynthase complex auxiliary component p18),Eef1e1,Mus musculus (Mouse),174
Q9Z2Z6,Q9Z2Z6,MCAT_MOUSE,reviewed,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (mCAC) (Solute carrier family 25 member 20),Slc25a20 Cac Cact,Mus musculus (Mouse),301
Q99MR8,Q99MR8,MCCA_MOUSE,reviewed,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)",Mccc1 Mcca,Mus musculus (Mouse),717
Q3ULD5,Q3ULD5,MCCB_MOUSE,reviewed,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)",Mccc2,Mus musculus (Mouse),563
Q9DB27,Q9DB27,MCTS1_MOUSE,reviewed,Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies 1),Mcts1,Mus musculus (Mouse),181
P14152,P14152,MDHC_MOUSE,reviewed,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)",Mdh1 Mor2,Mus musculus (Mouse),334
P08249,P08249,MDHM_MOUSE,reviewed,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",Mdh2 Mor1,Mus musculus (Mouse),338
P21440,P21440,MDR3_MOUSE,reviewed,Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 2) (Multidrug resistance protein 3) (P-glycoprotein 2) (P-glycoprotein 3),Abcb4 Mdr2 Pgy-2 Pgy2,Mus musculus (Mouse),1276
Q9Z2D6,Q9Z2D6,MECP2_MOUSE,reviewed,Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2),Mecp2,Mus musculus (Mouse),484
Q9DCS3,Q9DCS3,MECR_MOUSE,reviewed,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (NRBF-1)",Mecr Nrbf1,Mus musculus (Mouse),373
Q91VH6,Q91VH6,MEMO1_MOUSE,reviewed,Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1),Memo1,Mus musculus (Mouse),297
Q9DD20,Q9DD20,MET7B_MOUSE,reviewed,Thiol S-methyltransferase METTL7B (Methyltransferase-like protein 7B) (EC 2.1.1.9),Mettl7b,Mus musculus (Mouse),244
Q91X83,Q91X83,METK1_MOUSE,reviewed,S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1),Mat1a,Mus musculus (Mouse),396
O35678,O35678,MGLL_MOUSE,reviewed,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol lipase) (MAGL),Mgll,Mus musculus (Mouse),303
Q91VS7,Q91VS7,MGST1_MOUSE,reviewed,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,Mus musculus (Mouse),155
Q91ZV0,Q91ZV0,MIA2_MOUSE,reviewed,Melanoma inhibitory activity protein 2 (CTAGE family member 5 ER export factor),Mia2 Ctage5,Mus musculus (Mouse),1396
Q9CRB9,Q9CRB9,MIC19_MOUSE,reviewed,MICOS complex subunit Mic19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3),Chchd3 Mic19,Mus musculus (Mouse),227
Q9DCZ4,Q9DCZ4,MIC26_MOUSE,reviewed,MICOS complex subunit Mic26 (Apolipoprotein O) (MICOS complex subunit Mic23) (Protein FAM121B),Apoo Fam121b Mic23 Mic26,Mus musculus (Mouse),198
Q78IK4,Q78IK4,MIC27_MOUSE,reviewed,MICOS complex subunit Mic27 (Apolipoprotein O-like) (Protein FAM121A),Apool Fam121a Mic27,Mus musculus (Mouse),265
Q8CAQ8,Q8CAQ8,MIC60_MOUSE,reviewed,MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin),Immt Mic60,Mus musculus (Mouse),757
P34884,P34884,MIF_MOUSE,reviewed,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),Mif,Mus musculus (Mouse),115
Q8BG51,Q8BG51,MIRO1_MOUSE,reviewed,Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1),Rhot1 Arht1,Mus musculus (Mouse),631
Q8JZN7,Q8JZN7,MIRO2_MOUSE,reviewed,Mitochondrial Rho GTPase 2 (MIRO-2) (EC 3.6.5.-) (Ras homolog gene family member T2),Rhot2 Arht2,Mus musculus (Mouse),620
Q8R3Q6,Q8R3Q6,MIX23_MOUSE,reviewed,Protein MIX23 (Coiled-coil domain-containing protein 58),Mix23 Ccdc58,Mus musculus (Mouse),144
P63085,P63085,MK01_MOUSE,reviewed,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2),Mapk1 Erk2 Mapk Prkm1,Mus musculus (Mouse),358
P47811,P47811,MK14_MOUSE,reviewed,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha),Mapk14 Crk1 Csbp1 Csbp2,Mus musculus (Mouse),360
Q3THE2,Q3THE2,ML12B_MOUSE,reviewed,"Myosin regulatory light chain 12B (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2)",Myl12b Mrlc2 Mylc2b,Mus musculus (Mouse),172
