,,,,,,,,,,,,E(t)=1-exp(-k0(t-t0)),,,,,
Q6PDM2,1,1,0,0,0,0.208385,0.461704,0.8505,1,1,1,0.457796,0.190779,0.991605,,SRSF1_MOUSE,"Serine/arginine-rich splicing factor 1 (ASF/SF2) (Pre-mRNA-splicing factor SRp30a) (Splicing factor, arginine/serine-rich 1)"
Q6PHN9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,RAB35_MOUSE,Ras-related protein Rab-35
Q6RUT7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CSMT1_MOUSE,Protein CCSMST1
Q6URW6,1,1,0,0,0,0,0,1,1,1,1,0.887883,0.148527,0.903926,,MYH14_MOUSE,"Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)"
Q6XVG2,6,2,0,0.0294949,0.38724,0.470569,0.811863,0.965329,0.948556,0.97193,1,0.200177,0.426794,0.996103,,CP254_MOUSE,Cytochrome P450 2C54 (EC 1.14.14.1) (CYPIIC54)
Q6ZQ38,20,10,0,0,0.0572575,0.17602,0.696651,0.893266,0.966872,0.984164,0.988526,0.644333,0.271787,0.991537,,CAND1_MOUSE,Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (p120 CAND1)
Q6ZQI3,2,1,0,0,0,0,0,0.657393,0.941558,0.971365,1,1.01,0.110716,0.949182,,MLEC_MOUSE,Malectin
Q6ZWN5,11,5,0,0.00175514,0.0207599,0.0690438,0.133148,0.548315,0.839742,0.980548,0.993765,1.022,0.106504,0.987782,,RS9_MOUSE,40S ribosomal protein S9
Q6ZWU9,2,1,0,0,0,0.351092,0.902475,0.832913,1,1,0.995664,0.350942,0.316225,0.976655,,RS27_MOUSE,40S ribosomal protein S27
Q6ZWV3,10,9,0,0.00791957,0.19577,0.406781,0.712925,0.90426,0.9716,0.989966,0.981963,0.350788,0.326899,0.99967,,RL10_MOUSE,60S ribosomal protein L10 (Protein QM homolog) (Ribosomal protein L10)
Q6ZWV7,4,3,0,0,0.013226,0.111301,0.204079,0.473536,0.799434,0.972649,0.985132,0.845586,0.0991186,0.994603,,RL35_MOUSE,60S ribosomal protein L35
Q6ZWX6,2,1,0,0,0.0819698,0.237355,0.598019,0.828484,0.9784,0.985032,1,0.532496,0.233901,0.998368,,IF2A_MOUSE,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)
Q6ZWY3,1,1,0,0.66672,0.677296,0.479698,0.438751,0.72017,0.984466,1,0.900717,-3.94279,0.115444,0.928568,,RS27L_MOUSE,40S ribosomal protein S27-like
Q71LX4,2,1,0,0,0,0,0,0.970655,0.780505,1,0.924507,0.886218,0.126443,0.903973,,TLN2_MOUSE,Talin-2
Q71RI9,2,2,0,0,0.083919,0.319605,0.538764,0.906523,0.956561,1,0.974607,0.496217,0.246779,0.997867,,KAT3_MOUSE,Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)
Q76MZ3,3,3,0,0,0,0.130682,0.376201,0.890858,0.895848,0.96497,1,0.812527,0.18685,0.987985,,2AAA_MOUSE,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)
Q78IK2,3,1,0,0,0,0.116603,0.345923,0.689459,0.821553,0.96825,0.876969,0.722976,0.131515,0.992443,,ATPMK_MOUSE,"ATP synthase membrane subunit K, mitochondrial (ATP synthase membrane subunit DAPIT, mitochondrial) (Diabetes-associated protein in insulin-sensitive tissues) (Up-regulated during skeletal muscle growth protein 5)"
Q78IK4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,MIC27_MOUSE,MICOS complex subunit Mic27 (Apolipoprotein O-like) (Protein FAM121A)
Q78JT3,11,6,0,0.0101554,0.0624165,0.252311,0.462256,0.917567,0.95892,0.99973,0.998234,0.562273,0.221158,0.994626,,3HAO_MOUSE,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)"
Q78PY7,40,33,0,0.0110608,0.144844,0.30247,0.588695,0.868819,0.984848,0.988997,0.988206,0.380553,0.245934,0.999626,,SND1_MOUSE,Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (p100 co-activator)
Q791V5,8,5,0,0,0.0330606,0.196814,0.389366,0.706891,0.963349,0.981994,0.99859,0.614447,0.161556,0.998398,,MTCH2_MOUSE,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)
Q7TMF3,10,6,0,0,0.0293122,0.0788997,0.611281,0.840437,0.960487,0.99465,0.998083,0.754448,0.224435,0.988288,,NDUAC_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (Complex I-B17.2) (CI-B17.2) (CIB17.2) (NADH-ubiquinone oxidoreductase subunit B17.2)
Q7TMK9,1,1,0,0,0,0,0.501936,0.719722,1,0.915241,1,0.608823,0.158687,0.97872,,HNRPQ_MOUSE,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein) (pp68)"
Q7TNG8,9,9,0,0.0768591,0.316815,0.396496,0.732538,0.968472,0.991365,0.970323,0.992973,0.0918789,0.328673,0.997578,,LDHD_MOUSE,"Probable D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.2.4)"
Q7TPR4,12,6,0,0.0146495,0.0622648,0.339778,0.648387,0.856199,0.980745,0.963599,0.985471,0.486096,0.270807,0.997802,,ACTN1_MOUSE,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)
Q7TPV4,4,2,0,0,0,0,0,1,1,1,0.994746,1.24118,0.163333,0.914833,,MBB1A_MOUSE,Myb-binding protein 1A (Myb-binding protein of 160 kDa)
Q7TT50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,MRCKB_MOUSE,Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)
Q80SZ7,1,1,0,0,0,0.726687,0.860152,1,0.950805,1,1,0.274179,0.448092,0.972419,,GBG5_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
Q80UM7,6,2,0,0,0,0,0.109486,0.603471,0.959888,0.928166,0.95636,1.2495,0.117761,0.975981,,MOGS_MOUSE,Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Glucosidase 1) (Glycoprotein-processing glucosidase I)
Q80UU9,2,2,0,0,0,0.282322,0.897342,1,1,0.968614,1,0.667093,0.393073,0.983289,,PGRC2_MOUSE,Membrane-associated progesterone receptor component 2
Q80W21,4,3,0,0.000907723,0.0306177,0.108322,0.50158,0.814759,0.975564,0.998737,0.999253,0.741667,0.19933,0.993955,,GSTM7_MOUSE,Glutathione S-transferase Mu 7 (EC 2.5.1.18) (GST class-mu 7) (GSTM-7)
Q80WW9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,DDRGK_MOUSE,DDRGK domain-containing protein 1 (UFM1-binding and PCI domain-containing protein 1)
Q80X89,1,1,0,0,0,0,0.783917,0.562072,0.736158,0.734947,0.939362,0.192947,0.115635,0.908062,,UD2A1_MOUSE,UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (UGT2A1) (EC 2.4.1.17)
Q80X90,37,18,0,0.000394513,0.0112078,0.0728796,0.309331,0.916469,0.944414,0.980766,0.963603,0.906189,0.182711,0.97935,,FLNB_MOUSE,Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin)
Q80XL6,17,7,0,0.0947725,0.344245,0.423853,0.886307,0.970447,0.982673,0.986768,0.998473,0.149344,0.416879,0.995322,,ACD11_MOUSE,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-)
Q80XN0,15,9,0,0.00394883,0.060361,0.115322,0.345093,0.652175,0.96016,0.991898,0.996853,0.668105,0.143651,0.99612,,BDH_MOUSE,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH)"
Q80Y14,2,1,0,0.337024,0.482963,0.840206,0.971392,0.968281,0.978456,0.964108,0.975795,-0.0241015,0.799346,0.997527,,GLRX5_MOUSE,"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)"
Q8BFR5,14,8,0,0.0199713,0.145525,0.348613,0.531061,0.791554,0.987055,0.980615,0.96156,0.225389,0.210454,0.998971,,EFTU_MOUSE,"Elongation factor Tu, mitochondrial"
Q8BG05,8,6,0,0.0216159,0.0954762,0.273554,0.635966,0.843187,0.9475,0.963566,0.993185,0.441851,0.245623,0.997735,,ROA3_MOUSE,Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)
Q8BG32,2,1,0,1,0.3858,0.731116,1,1,0.993604,0.990787,1,-4.9465,0.230135,0.962282,,PSD11_MOUSE,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)
Q8BG73,1,1,0,0,0,0,0.899454,1,1,1,1,0.510791,0.27884,0.94183,,SH3L2_MOUSE,SH3 domain-binding glutamic acid-rich-like protein 2
Q8BGA8,3,3,0,0.0184172,0.0408257,0.064471,0.38554,0.76446,0.911633,0.978888,0.965848,0.735644,0.158244,0.992091,,ACSM5_MOUSE,"Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2)"
Q8BGC4,2,1,0,0.855042,0.874776,0.890462,0.853415,0.924418,0.946952,1,1,-0.000331732,4.80418,0.992722,,PTGR3_MOUSE,Prostaglandin reductase-3 (PTGR-3) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase) (Zinc-binding alcohol dehydrogenase domain-containing protein 2)
Q8BGQ7,26,21,0,0.0273105,0.348012,0.649091,0.927365,0.968723,0.991004,0.99333,0.993429,0.34021,0.648568,0.99976,,SYAC_MOUSE,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein sticky) (Sti)"
Q8BGT5,3,1,0,0,0.501443,1,0.921989,0.988116,0.654842,0.832101,0.551616,0.391968,1.37626,0.93934,,ALAT2_MOUSE,Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)
Q8BGX0,1,1,0,0,0.0413087,0.0652779,0.159704,0.401421,0.772614,0.902844,1,0.682083,0.0837446,0.989294,,TRI23_MOUSE,E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)
Q8BH00,17,15,0,0.00459108,0.0533301,0.138684,0.57143,0.911342,0.975491,0.99031,0.992532,0.681488,0.236654,0.992013,,AL8A1_MOUSE,2-aminomuconic semialdehyde dehydrogenase (EC 1.2.1.32) (Aldehyde dehydrogenase family 8 member A1) (Retinal dehydrogenase 4)
Q8BH59,2,1,0,0,0.0466793,0.132236,0.405144,0.715282,0.93444,1,0.985988,0.4357,0.149512,0.99561,,CMC1_MOUSE,Calcium-binding mitochondrial carrier protein Aralar1 (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)
Q8BH95,15,6,0,0.0218015,0.0192211,0.133331,0.420243,0.837531,0.906751,0.988463,0.994294,0.694218,0.18132,0.992772,,ECHM_MOUSE,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)"
Q8BHC4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,DCAKD_MOUSE,Dephospho-CoA kinase domain-containing protein
Q8BHH1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,AQP11_MOUSE,Aquaporin-11 (AQP-11)
Q8BHI7,2,2,0,0.0518515,0.757915,0.956994,0.99108,0.997328,0.992035,0.998267,0.99448,0.35512,2.17099,0.999936,,ELOV5_MOUSE,Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)
Q8BHN3,27,23,0,0.0080548,0.118195,0.301604,0.632657,0.91109,0.941932,0.939689,0.917706,0.45863,0.270211,0.99605,,GANAB_MOUSE,Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)
Q8BI84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,TGO1_MOUSE,Transport and Golgi organization protein 1 homolog (TANGO1) (Melanoma inhibitory activity protein 3)
Q8BIJ6,13,9,0,0,0.00793274,0.0155042,0.415501,0.722862,0.948035,0.97021,0.968042,0.909662,0.160589,0.990216,,SYIM_MOUSE,"Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)"
Q8BJ64,5,5,0,0,0,0.036762,0.123293,0.784976,0.98236,0.979998,0.952324,1.12637,0.144359,0.968233,,CHDH_MOUSE,"Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)"
Q8BK30,2,1,0,0.479942,0.346993,0.505887,0.746541,0.882865,1,1,1,-0.605124,0.294476,0.983278,,NDUV3_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit)"
Q8BKZ9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,ODPX_MOUSE,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (Lipoyl-containing pyruvate dehydrogenase complex component X)"
Q8BL66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,EEA1_MOUSE,Early endosome antigen 1
Q8BMF4,6,6,0,0.0534072,0.0698417,0.150783,0.431937,0.722482,0.903189,0.991791,0.985709,0.394181,0.153488,0.997225,,ODP2_MOUSE,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)"
Q8BMJ2,6,5,0,0,0.066754,0.328629,0.750059,0.944967,0.980512,0.973813,0.963294,0.567982,0.336205,0.99574,,SYLC_MOUSE,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"
Q8BMS1,41,36,0,0.00931038,0.0578168,0.20954,0.508382,0.776884,0.95879,0.990621,0.988624,0.536771,0.194156,0.99881,,ECHA_MOUSE,"Trifunctional enzyme subunit alpha, mitochondrial (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]"
Q8BP47,6,3,0,0.00904893,0.0604353,0.271123,0.796855,0.89466,0.994561,0.982378,1,0.580199,0.32576,0.991768,,SYNC_MOUSE,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)"
Q8BP67,6,5,0,0,0.0682653,0.124085,0.307626,0.629581,0.943962,0.991256,0.997916,0.655423,0.135367,0.995949,,RL24_MOUSE,60S ribosomal protein L24
Q8BSY0,1,1,0,0,0,0.469758,0.535631,1,1,0.934842,1,0.323879,0.26619,0.982139,,ASPH_MOUSE,Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)
Q8BTM8,17,7,0,0,0.0287844,0.0543896,0.286065,0.803044,0.9161,0.882412,0.923158,0.870993,0.149809,0.982597,,FLNA_MOUSE,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)
Q8BTY1,1,1,0,0,0,0.170367,0.268779,0.902088,1,0.911564,1,0.553336,0.166662,0.973993,,KAT1_MOUSE,Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I)
Q8BU30,23,14,0,0.000191337,0.0582536,0.241335,0.535952,0.798815,0.958028,0.950231,0.981613,0.53628,0.208389,0.998612,,SYIC_MOUSE,"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)"
Q8BU88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RM22_MOUSE,"39S ribosomal protein L22, mitochondrial (L22mt) (MRP-L22)"
Q8BUV3,7,4,0,0,0,0.0496475,0.444523,0.843674,0.911216,0.938499,0.942699,0.871343,0.18426,0.986946,,GEPH_MOUSE,Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]
Q8BVI4,14,1,0,0,0,0,0.732742,0.878342,0.944398,0.982177,1,0.843108,0.254277,0.970835,,DHPR_MOUSE,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase)
Q8BW70,1,1,0,0,0.659811,0.743022,0.998574,0.982733,1,1,0.948158,0.104437,0.805736,0.98717,,UBP38_MOUSE,Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38)
Q8BW75,17,12,0,0.00420303,0.0627622,0.164445,0.496065,0.779613,0.995388,0.99186,0.99214,0.606187,0.193865,0.997221,,AOFB_MOUSE,Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
Q8BWF0,10,5,0,0,0.0262326,0.246968,0.398974,0.872702,0.893052,0.974505,0.975426,0.616449,0.192469,0.992651,,SSDH_MOUSE,"Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)"
Q8BWP5,7,1,0,0,0,0,0.785604,1,0.987717,1,1,0.534369,0.254416,0.953179,,TTPA_MOUSE,Alpha-tocopherol transfer protein (Alpha-TTP)
Q8BWQ1,9,8,0,0.00507994,0.0474274,0.319354,0.636789,0.849626,0.940791,0.939607,0.9704,0.52645,0.260605,0.996549,,UD2A3_MOUSE,UDP-glucuronosyltransferase 2A3 (UDPGT 2A3) (EC 2.4.1.17)
Q8BWT1,34,17,0,0.0146497,0.0829704,0.129619,0.321287,0.700265,0.910549,0.980451,0.995586,0.554672,0.140631,0.996198,,THIM_MOUSE,"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)"
Q8C0C7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,SYFA_MOUSE,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q8C165,4,4,0,0.111544,0.328567,0.506008,0.792124,0.959666,1,1,0.996469,0.0552308,0.387955,0.999755,,P20D1_MOUSE,N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1) (PM20D1)
Q8C196,132,104,0,0.00639721,0.0477434,0.110132,0.269468,0.601448,0.898608,0.965107,0.980654,0.698542,0.122208,0.996393,,CPSM_MOUSE,"Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)"
Q8C5H8,1,1,0,0,0,0.150674,0.665158,0.89193,1,1,1,0.463686,0.230156,0.983801,,NAKD2_MOUSE,"NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)"
Q8C7E7,4,1,0,0,0,0,0,1,1,1,0.880917,0.885746,0.146855,0.899877,,STBD1_MOUSE,Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor stbd1)
Q8C7X2,7,3,0,0,0,0.086256,0.325428,0.714105,0.940655,0.997879,0.988888,0.88195,0.151787,0.994168,,EMC1_MOUSE,ER membrane protein complex subunit 1
Q8CAQ8,16,8,0,0,0.0293438,0.0963101,0.281624,0.736168,0.989969,0.953451,0.998634,0.844697,0.152655,0.990104,,MIC60_MOUSE,MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin)
Q8CAY6,9,4,0,0.0619208,0.19093,0.351762,0.692399,0.936637,0.987772,0.998312,0.99957,0.258583,0.296981,0.998807,,THIC_MOUSE,"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)"
Q8CC86,2,1,0,0,0,0,0.988569,0.955202,0.996943,1,1,0.797504,0.346652,0.944047,,PNCB_MOUSE,Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21) (Nicotinate phosphoribosyltransferase domain-containing protein 1)
Q8CC88,40,19,0,0,0,0.0933951,0.676422,0.934135,0.965438,0.965519,0.983458,0.788289,0.265186,0.983467,,VWA8_MOUSE,von Willebrand factor A domain-containing protein 8
Q8CDN6,3,2,0,0.0531085,0.484971,0.760252,1,1,0.965114,0.969998,1,0.315709,0.922234,0.999249,,TXNL1_MOUSE,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)
Q8CFA2,1,1,0,0,0,0.0990516,0.353301,0.824414,0.971647,1,1,0.585045,0.162311,0.985572,,GCST_MOUSE,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)"
Q8CFJ7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,S2545_MOUSE,Solute carrier family 25 member 45
Q8CFX1,18,14,0,0.0185834,0.216859,0.398293,0.814157,0.937682,0.982306,0.984257,0.979661,0.373234,0.382042,0.997977,,G6PE_MOUSE,GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]
Q8CG50,1,1,0,0,0.30362,0.867123,0.999522,1,1,0.975372,0.996216,0.168624,0.673553,0.985773,,RAB43_MOUSE,Ras-related protein Rab-43
Q8CG76,7,3,0,0.0930693,0.115552,0.210097,0.566111,0.878053,0.956816,0.991613,0.994151,0.280079,0.214085,0.9948,,ARK72_MOUSE,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (Succinic semialdehyde reductase) (SSA reductase)
Q8CGC7,24,13,0,0,0.114232,0.311137,0.769381,0.95371,0.973055,0.97428,0.992815,0.528372,0.341259,0.99584,,SYEP_MOUSE,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]
Q8CGK3,23,20,0,0.0306466,0.0749846,0.232488,0.584356,0.862793,0.97127,0.950923,0.944384,0.488166,0.231187,0.996094,,LONM_MOUSE,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)"
Q8CHQ9,7,5,0,0.019201,0.357203,0.665184,0.89613,0.995566,0.921716,0.991004,0.995818,0.343507,0.656179,0.998796,,NT8F2_MOUSE,N-acetyltransferase family 8 member 2 (EC 2.3.1.-) (Camello-like protein 2) (N-acetyltransferase-like protein CML2)
Q8CHR6,38,23,0,0.0263396,0.219288,0.677052,0.933122,0.976811,0.974065,0.985913,0.990636,0.406119,0.62878,0.997181,,DPYD_MOUSE,Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)
Q8CHT0,20,10,0,0.00167655,0.0239728,0.0893113,0.367382,0.735845,0.950095,0.990493,0.989316,0.800996,0.159636,0.994787,,AL4A1_MOUSE,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)"
Q8CI94,1,1,0,0,0,0.201444,0.248307,0.707739,1,0.966561,0.994961,0.520436,0.140606,0.986098,,PYGB_MOUSE,"Glycogen phosphorylase, brain form (EC 2.4.1.1)"
Q8CIB5,1,1,0,0,0,0.709853,0.937235,0.966511,0.995621,1,0.983216,0.278052,0.465914,0.971934,,FERM2_MOUSE,Fermitin family homolog 2 (Kindlin-2) (Pleckstrin homology domain-containing family C member 1)
Q8CIE6,36,29,0,0.00653815,0.110654,0.256415,0.662437,0.936858,0.947181,0.977747,0.986656,0.518905,0.281014,0.996102,,COPA_MOUSE,Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]
Q8CIM7,11,9,0,0.0821788,0.430084,0.829784,0.952067,0.959399,0.975497,0.967076,0.986768,0.301373,0.908616,0.998743,,CP2DQ_MOUSE,Cytochrome P450 2D26 (EC 1.14.14.1) (CYPIID26)
Q8JZK9,3,1,0,0,0,0,0,0.625835,1,1,1,1.39165,0.122226,0.953177,,HMCS1_MOUSE,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)"
Q8JZN5,11,5,0,0.0544736,0.038512,0.0990692,0.432527,0.72812,0.931849,0.987705,0.996648,0.566964,0.158075,0.994029,,ACAD9_MOUSE,"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)"
